" and "," и "
"Please select one of the options.","Выберите одну из опций."
"Please select an option.","Выберите опцию."
"Choose Store View","Выберите представление магазина"
"View","Выводить"
"Display %s first","Вывести %s в начале"
"Log Out","Выйти"
"Time:","Время:"
"Your Account has been deactivated.","Ваш аккаунт активирован"
"Please enter 6 or more characters.","Введите 6 или более символов."
"Please enter a number greater than 0 in this field.","Введите число больше нуля."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Введите дату в формате дд/мм/гггг."
"Please enter a valid credit card number.","Введите номер кредитной карты."
"Please enter a valid date.","Введите правильную дату."
"Please enter a valid email address. For example johndoe@domain.com.","Введите правильный email адрес. Например, user@site.ru."
"Please enter a valid URL. http:// is required","Введите правильный URL. http:// обязательно."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Введите правильный URL. Например, http://www.example.com или www.example.com"
"Please enter a valid social security number. For example 123-45-6789.","Введите правильный номер социального страхования. Например 123-45-6789."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Введите правильный номер телефона. Например  (812) 456-7890 или 123-456-7890."
"Please enter valid password.","Введите правильный пароль."
"Please enter a valid zip code.","Введите правильный почтовый индекс."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Введите правильный почтовый индекс. Например, 90602 или 90602-1234."
"Please enter a valid number in this field.","Введите правильное число."
"Please enter a valid value from list","Введите правильное значение из списка"
"Please enter a valid value, ex: 10,20,30","Введите правильное значение, например: 10,20,30"
"Please enter a valid $ amount. For example $100.00.","Введите правильное значение. Например, $100.00."
"Select Visible","Видимые"
"Visibility:","Видимость:"
"Include","Включить"
"This tab contains invalid data. Please solve the problem before saving.","Вкладка содержит некорректные данные. Исправьте перед сохранением."
"Warning! Empty value can cause problems with CSV format.","Внимание! Пустое значение может вызвать проблемы с форматом CSV"
"Version:","Версия:"
"Web Services","Веб сервисы"
"Customer Group:","Группа покупателя:"
"Group:","Группа:"
"Global Record Search","Глобальный поиск записи"
"Yes","Да"
"Switch/Solo card start Date: %s/%s","Дата карты Switch/Solo(Великобритания): %s/%s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Дата карты Switch/Solo/Maestro(Великобритания): %s/%s"
"Start Date","Дата начала"
"Date:","Дата:"
"No Data Found","Данные не найдены"
"Access Denied.","Доступ запрещен."
"Resource Access","Доступ к ресурсу"
"Provided Files","Доступные файлы"
"Available Products","Доступные продукты"
"Dashboard","Доска"
"Add","Добавить"
"Add Maintainer","Добавить ведущего"
"Add PHP Extension dependency","Добавить зависимость PHP расширение"
"Add Package dependency","Добавить зависимость пакета"
"Add Subpackage dependency","Добавить зависимость подпакета"
"Add New Role","Добавить новую роль"
"Add new website map","Добавить новую карту сайта"
"Add new store view map","Добавить новую карту магазина"
"Add New Template","Добавить новый шаблон"
"Add New User","Добавить нового пользователя"
"Add Contents Path","Добавить путь к оглавлению"
"Add Field with URL:","Добавить поле с URL:"
"Decimal separator:","Десятичный разделитель:"
"Actions","Действия"
"Action","Действие"
"License:","Лицензия:"
"Interface Locale: %s","Локаль интерфейса: %s"
"Local Server","Локальный сервер"
"Local/Remote Server","Локальный/удаленный сервер"
