"* Required Fields","* Обязательные поля"
"This is My Primary %s Address","Это мой основной %s адрес"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Это письмо будет отправлено вместо стандартного приветственного письма, после принятия кода подтверждения."
"The address was successfully saved","Этот адрес был успешно сохранен"
"The address was successfully deleted","Этот адрес был удален"
"This email address was not found in our records","Этот адрес не найден в наших записях"
"The address does not belong to this customer","Этот адрес не принадлежит этому пользователю"
"Email","Эл. почта"
"No Items Found","Элементы не обнаружены"
"Date of Birth is required.","необходима дата рождения"
"Error during retrieval of option value: %s","ошибка при получении значения параметра: %s"
"Store","Магазин"
"My Account","Моя учётная запись"
"My Dashboard","Моя панель управления"
"My Tags","Мои теги"
"My Reviews","Мои рецензии"
"My Orders","Мои заказы"
"My Wishlist","Мой список желаний"
"MM","ММ"
"Month","Месяц"
"Shipping Method","Метод доставки"
"Payment Method","Метод оплаты"
"Use as my default shipping address","Использовать в качестве моего адреса доставки по умолчанию"
"Use as my default billing address","Использовать в качестве моего платежного адреса по умолчанию"
"Use as My Primary %s Address","Использование в качестве моего основного %s адреса"
"Order Total","Итог заказа"
"Grand Total: %s","Итого: %s"
"ID","Идентификационный номер"
"Change Shipping Address","Изменить адрес отправления"
"Change Billing Address","Изменить адрес плательщика"
"Edit Group","Изменить группу"
"Edit Newsletters","Изменить новостные письма"
"Change Password","Изменить пароль"
"Change Account Password","Изменить пароль учётной записи"
"Edit Newsletter Subscription","Изменить подписку на новости"
"Edit Personal Information","Изменить персональные данные"
"Edit Account Information","Изменение учётной записи"
"or","Или"
"First Name","Имя"
"Name","Имя"
"First name can't be empty","Имя не может быть пустым"
"Online Minutes Interval","Интервал в минутах"
"Account information was successfully saved","Информация аккаунта была успешно сохранена"
"Login Information","Информация для входа в аккаунт"
"Group Information","Информация о группе"
"Shipping Information","Информация о доставке"
"Newsletter Information","Информация о письме"
"Billing Information","Информация о плательщике"
"Customer Information","Информация о пользователе"
"Address Information","Информация об адресе"
"Account Information","Информация об аккаунте"
"No Newsletter Found","Информационных бюллетеней нет"
"Newsletter","Информационный бюллетень"
"Newsletters","Информационные бюллетени"
"Password forgotten","Забытый пароль"
"Forgot Your Password?","Забыли пароль?"
"Order #","Заказ #"
"Order #%s (%s)","Заказ # %s (%s)"
"Items Order","Заказ товаров"
"Orders","Заказы"
"New Address Entry","Запись нового адреса"
"Records for ""","Записи для """
"Hello, %s!","Здравствуйте, %s!"
"Your account balance is: %s","Баланс вашего счета: %s"
"Thank you for registering with %s","Благодарим Вас за регистрацию в %s"
"Online","В сети"
"There are no items in customer's wishlist at the moment","В данный момент в списке желаний пользователя нет товаров"
"There are no items in customer's shopping cart at the moment","В данный момент в корзине у пользователя нет товаров"
"To Cart","В корзину"
"You are currently subscribed to 'General Subscription'.","В настоящее время вы подписаны на 'Общую подписку'."
"You are currently subscribed to our newsletter","В настоящее время вы подписаны на рассылку новостей"
"You are currently subscribed to our newsletter.","В настоящее время вы подписаны на наши новости."
"You are currently not subscribed to any newsletter.","В настоящее время Вы не подписаны на какие-либо новости."
"You are currently not subscribed to our newsletter","В настоящее время Вы не подписаны на нашу рассылку новостей"
"All","Все"
"All countries","Все страны"
"Always optional","Всегда опционально"
"Grand Total","Всего"
"Customer Login","Вход в систему"
"Login or Create an Account","Вход в систему"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Вы успешно вышли из системы и будете перенаправлены на нашу домашнюю страницу в течении 5 секунд."
"Are you sure you want to delete this address?","Вы уверены, что хотите удалить этот адрес?"
"Are you sure that you want to remove this item?","Вы уверены, что хотите удалить этот пункт?"
"Are you sure you want to cancel adding of this address?","Вы уверены, что хотите отменить добавление этого адреса?"
"Are you sure?","Вы уверены?"
"You have placed no orders yet.","Вы еще не разместили ни одного заказа"
"You have placed no products yet.","Вы еще не заказали ни одного товара"
"Please select region, state or province","Выберите область (или штат, провинцию)"
"Log Out","Выйти"
"Please enter your email below and we'll send you confirmation link for it.","Введите ниже Ваш адрес эл. почты для получения кода подтверждения."
"Please enter your email below and we'll send you a new password.","Введите ниже Ваш адрес эл. почты для получения нового пароля."
"Please enter your email.","Введите Ваш адрес эл. почты."
"Store View","Вид магазина"
"Customer View","Вид пользователя"
"All Store Views","Виды всех магазинов"
"Visible In","Видно в"
"There was an error while deleting the address","Во время удаления адреса произошла ошибка"
"Retrieve your password here","Восстановите Ваш пароль здесь"
"Refunded","Возвращено"
"Log In","Войти"
"Log in or Create an Account","Войти или создать учётную запись"
"Continue Shopping","Вернуться в магазин"
"Back to Login","Вернуться ко входу в систему"
"Customer Groups","Группы покупателей"
"Group","Группа"
"Group ""%s"" can not be deleted","Группа ""%s"" не может быть удалена"
"Default Group","Группа по умолчанию"
"Customer Group","Группа покупателя"
"Guest","Гость (незарегистрированный пользователь)"
"City","Город"
"Year","Год"
"Date","Дата"
"Date of Birth","Дата рождения"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Данные разделённые точкой с запятой (;).<br/>Вставьте точку с запятой в начале для очистки первого значения.<br/>Оставьте пустым чтобы открыть текстовое поле."
"Customer website id must be specified, when using website scope.","Для сайтов должен быть установлен ID покупателя."
"Per Website","Для веб-сайта"
"Registered Customers","Для зарегистрированных пользователей"
"Days in Wishlist","Дней в отмеченных товарах"
"Ship to Last name","Доставка на фамилию"
"Ship to First name","Доставка на имя"
"Shipped to Last Name","Доставлено на фамилию"
"Shipped to First Name","Доставлено на имя"
"Add New Customer Group","Добавить новую группу пользователей"
"Add New Address","Добавить новый адрес"
"Add New Customer","Добавить нового пользователя"
"Date Added","Добавлен "
"Added From","Добавлено из"
"Array of Entity collections is expected","Должен быть указан массив коллекций"
"Default Email Domain","Домен письма по умолчанию"
"Additional Address Entries","Дополнительные параметры адреса"
"Action","Действие"
"Day","День"
"DD","ДД"
"If you have an account with us, please log in.","Если у Вас есть аккаунт в нашей системе, пожалуйста, войдите в него"
"Personal Information","Личная информация"
"Login","Логин"
