"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налоги"
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"Quick Overview","Краткая информация"
"Cross-sells","Кросс-продажи"
"Catalog","Каталог"
"Catalog, Search","Каталог, поиск"
"Site Map","Карта сайта"
"Sitemap","Карта сайта"
"Products Sitemap","Карта товарного каталога"
"Categories Sitemap","Карта разделов"
"Root","Корень"
"Attribute Code","Код атрибута"
"Qty","Кол-во"
"Qty for Item's Status to become Out of Stock","Кол-во товара, при котором он отображается отсутствующим в наличии"
"Products per Page on List default value","Кол-во товаров на странице для списка"
"Products per Page on List allowed values","Кол-во товаров на странице для списка (варианты)"
"Products per Page on Grid default value","Кол-во товаров на странице для таблицы"
"Products per page on Grid allowed values","Кол-во товаров на странице для таблицы (варианты)"
"Qty Uses Decimals","Кол-во, используя десятичные"
"Amount","Количество"
"Number of results<br/>(For last time placed)","Количество результатов<br/>(в последний раз размещения)"
"Number of Uses","Количество использований"
"Default Qty","Количество по умолчанию"
"Super product attributes configuration","Конфигурация атрибутов супер товара"
"Copy From Configurable","Копировать из настраиваемых"
"Empty","Пусто"
"Edit","Правка"
"Edit Product Attribute ""%s""","Правка товарного атрибута ""%s"""
"There was an error while removing products from websites","При удалении товаров с сайтов произошла ошибка"
"There was an error while adding products to websites","При добавлении товаров на сайты произошла ошибка"
"There was an error while cleared compare list","При очистке писка сравнения произошла ошибка"
"There was an error while updating product(s) status","При обновлении статус товара произошла ошибка"
"Apply To","Применить к"
"Apply To Configurable/Grouped Product","Применить к настраиваемым/группированным товарам"
"Approved","Принято"
"Simple Product","Простой товар"
"Browse By","Просмотр"
"Shop by","Просмотр"
"Currently Shopping by","Просмотр товаров по"
"Percentage","Процент"
"Check items to add to the cart or","Проверить товары для добавления в корзину или"
"Input Validation for Store Owner","Проверка ввода для владельца магазина"
"Up-sells","Продвигаемые товары"
"Continue","Продолжить"
"Roll Over for preview","Промотать до предпросмотра"
"Skip import row, required field ""%s"" not defined","Пропуск строки при импорте, не определено необходимое поле ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Пропуск строки при импорте, не определено необходимое поле ""%s"" для нового покупателя"
"Skip import row, required field ""%s"" for new products not defined","Пропуск строки при импорте, не определено необходимое поле ""%s"" ля нового товара"
"Skip import row, store ""%s"" field not exists","Пропуск строки при импорте, несуществующее поле магазина ""%s"""
"Skip import row, is not valid value ""%s"" for field ""%s""","Пропуск строки при импорте, неверное значение ""%s"" поля ""%s"""
"Product collection expected","Пропущена коллекция товара"
"Prev","Пред"
"Previous","Предыдущая"
"Max Characters","Предел символов"
"Maximal Depth","Предел глубины"
"Maximum number of characters","Предел кол-ва символов"
"Maximum Qty Allowed in Shopping Cart","Предел кол-ва товаров в товарной корзине"
"Letters","Письма"
"Is Default","По умолчанию"
"Last Notification","Последние уведомление"
"Sort Order","Порядок сортировки"
"Learn More","Подробнее"
"Subscribe to RSS Feed","Подписаться на RSS канал."
"Subscribe to Feed","Подписаться на канал"
"Please add rows to option.","Пожалуйста добавьте строки в опции."
"Please set up merge date/time .","Пожалуйста, укажите дату и время слияния."
"Please enter a new group name","Пожалуйста, укажите имя новой группы"
"Please specify time required option(s)","Пожалуйста, укажите обязательный параметр время"
"Please specify date required option(s)","Пожалуйста, укажите обязательный параметр дата"
"Please, use four-digit year format","Пожалуйста, используйте полный формат для года"
"Position","Позиция"
"Position In Layered Navigation","Позиция в многоуровневой навигация"
"Watermark Position","Позиция водяного знака"
"Search","Поиск"
"Search was successfully deleted","Поиск был удален"
"Search Information","Поиск информации"
"Search Query","Поисковый запрос"
"Show","Показать"
"Show Tags","Показать теги"
"Show Details","Показать подробно"
"Customers for alert %s was successfuly added to queue","Пользователи были успешно добавлены в очередь для оповещения %s"
"Retrieve one level of categories by website/store view/parent category","Получить 1 уровень категорий сайта/магазина"
"Retrieve linked products","Получить связанные товары"
"Retrieve attribute list","Получить список атрибута"
"Retrieve product image list","Получить список изображений товара"
"Retrieve list of assigned products","Получить список назначенных товаров"
"Get special price","Получить спец. цену"
"Retrieve product link types","Получить типы ссылки товара"
"Retrieve product types","Получить типы товара"
"Retrieve product image types","Получить типы изображений товара"
"Retrieve product","Получить товар"
"Retrieve product link type attributes","Получить атрибуты типа ссылки товара"
"Retrieve category attributes","Получить атрибуты категории"
"Retrieve attribute data","Получить данные атрибута"
"Retrieve category data","Получить данные категории"
"Retrieve products data","Получить данные о товаре"
"Retrieve product tier prices","Получить динамические цены товара"
"Retrieve hierarchical tree","Получить дерево иерархии"
"Retrieve categories tree","Получить дерево категорий"
"Retrieve product image","Получить изображение товара"
"Retrieve product attribute sets","Получить набор атрибутов товара"
"Retrieve products list by filters","Получить отфильтрованный список товаров"
"Retrieve attribute options","Получить опции атрибута"
"Feature Products","Популярные товары"
"PM","Пополудни"
"Date & Time Custom Options","Персональные настройки даты и времени"
"Product listing sort by","Перечень товаров отсортированный по"
"Go to Home Page","Перейти к домашней странице"
"Move","Переместить"
"Move category in tree","Переместить раздел в дереве"
"Redirect","Перенаправление"
"Based On","Основано на"
"Failed","Ошибка"
"Product saving error.","Ошибка сохранения товара"
"Product saving error. ","Ошибка сохранения товара. "
"Category delete error","Ошибка удаления раздела"
"Error during retrieval of option value: %s","Ошибка во время получение варианта значения: %s"
"Error while saving this group. Please try again later.","Ошибка при сохранении этой группы. Пожалуйста, попробуйте еще раз позже."
"Error while saving this group. Group with the same name already exists.","Ошибка при сохранении этой группы. Группа с таким же именем уже существует."
"Url rewrie save problem.","Ошибка при сохранении переадресации."
"Error while adding customers for %s alert. Message: %s","Ошибка при добавлении пользователей для %s. Сообщение: %s"
"Failed to move file: %s","Ошибка при перемещении файла: %s"
"Category move error","Ошибка перемещения раздела"
"Missing SKU, skipping the record","Отсутствует SKU (артикул, идентификатор товарной позиции), пропуск записи"
"Filterable (with results)","Отфильтровано (результаты)"
"Filterable (no results)","Отфильтровано (нет результатов)"
"Review successfully deleted","Отзыв удален"
"Review was saved successfully","Отзыв был успешно сохранен"
"Review was successfully saved","Отзыв был успешно сохранен"
"Reviews","Отзывы"
"Products Reviews","Отзывы о товарах"
"Product Reviews","Отзывы о товаре"
"Customers Reviews","Отзывы пользователей"
"Disabled","Отключено"
"Problem saving the collection, aborting. Error: %s","Отмена  сохранения коллекции. Ошибка: %s"
"Display in Suggested Terms","Отображать в предлагаемых условиях"
"Email to a Friend","Отправить другу"
"Send Count","Отправить количество"
"Clear All Items","Очистить список"
"Clear All","Очистить все"
"Declare attribute value saving scope","Объявить диапазон для сохранения атрибута"
"Required","Обязательный"
"Is Required","Обязательно"
"General Information","Общая информация"
"Global","Общий"
"Duplicate website, country and state tax found.","Обнаружен сайт-дубликат для этой страны и ставки налогов."
"Update","Обновить"
"Update product link","Обновить ссылку товара"
"Update assigned product","Обновить связанный товар"
"Update product","Обновить товар"
"Update Attributes","Обновить атрибуты"
"Update attributes","Обновить атрибуты"
"Update Tier Price","Обновить динамические цены"
"Update product tier prices","Обновить динамические цены"
"Update product image","Обновить изображение товара"
"Update category","Обновить категорию"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Обновите ""Переадресацию в каталоге"" и ""Индексы многослойной навигации"" в меню Система -> <a href=""%s"">Управление кэшем</a>"
"Pending","Ожидает решения"
"Search Engine Optimizations","Оптимизация в поисковых системах"
"Product Description","Описание товара"
"Product Alerts","Оповещения о товаре"
"Associated Products","Ассоциированные товары"
"Attribute with the same code already exists","Атрибут с тем же кодом уже существует"
"Product Attribute","Атрибут товара"
"Product attribute was successfully saved","Атрибут товара был сохранен"
"Product attribute was successfully deleted","Атрибут товара был удален"
"Attribute Information","Атрибут информации"
"Cart Item Attribute","Атрибут единицы корзины"
"Attributes","Атрибуты"
"Product Attributes","Атрибуты товара"
"SKU","Артикул (SKU)"
"Autogenerate","Автогенерация"
"Configurable Product","Настраиваемый товар"
"Custom Design","Настраиваемый дизайн"
"Custom Options","Настраиваемые варианты"
"Settings","Настройки"
"Configurable Product Settings","Настройки конфигурируемых товаров"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Наш сервис клиента доступен 24/7. Звоните нам по номеру (555) 555-0123."
"Starting at:","Начало:"
"Attribute Set","Набор атрибутов"
"Conditions Combination","Наборы условий"
"Category Navigation:","Навигация по разделу:"
"Please click on Close Window button if it won't be closed automatically","Нажмите на кнопку ""Закрыть окно"", если он не хочет закрыться по хорошему"
"Back","Назад"
"Title","Названия"
"Attrribute names can be specified per store.","Названия атрибутов могут быть указаны для магазина."
"Label","Название"
"Backend Table Title","Название Backend таблицы"
"Product Name","Название товара"
"Tag Name","Название тега"
"Attribute Name:","Название атрибута:"
"Store View","Название магазина"
"Assign product link","Назначить ссылку товара"
"Assigned Products","Назначенные товары"
"Stock Availability","Наличие на складе"
"Tax","Налог"
"Nowhere","Нигде"
"Bottom/Left","Низ/лево"
"Bottom/Right","Низ/право"
"New Product","Новый товар"
"New Category","Новый раздел"
"New Product Attribute","Новый атрибут товара"
"New Search","Новый поиск"
"New Products","Новые товары"
"New Set Name","Новое название набора"
"Unable to get product id.","Не удалось получить номер товара."
"Unable to find an attribute to delete","Не удается найти атрибут для удаления"
"Not shared with other products","Не разделять с другими товарами"
"Cannot create writeable directory '%s'","Не могу создать записываемую директорию '%s'"
"No product collections found","Не найдено коллекций товара"
"Unassigned Attributes","Не присвоенные атрибуты"
"No","Нет"
"None","Нет"
"There are no products matching the selection.","Нет товаров соответствующих выбору"
"Out of Stock","Нет в наличии"
"Out of stock","Нет в наличии"
"Out of stock.","Нет в наличии"
"No image","Нет изображения"
"No layout updates","Нет обновлений структуры"
"Unable to complete request. Please try again later.","Невозможно выполнить запрос. Пожалуйста, попробуйте еще раз позже."
"Unable to find a search term to delete","Невозможно найти запроса для удаления"
"Invalid attribute %s","Неверный атрибут %s"
"Invalid block: %s","Неверный блок: %s"
"Invalid Tier Prices","Неверные дифференцированные цены"
"Unknown attribute: %s","Неизвестный атрибут: %s"
"Options is required","Необходим вариант"
"Invalid image file type","Неправильный формат графического файла"
"Invalid category","Неправильный раздел"
"Invalid image type.","Неправильный графический формат."
"Invalid category IDs","Неправильный идентификаторы раздела"
"Stretch","Растянуть"
"Position of attribute in layered navigation block","Расположение атрибута в блоке многоуровневой навигации"
"Print This Page","Распечатать страницу"
"Allow HTML-tags on Front-end","Разрешить HTML-теги на сайте"
"Allowed File Extensions","Разрешенные расширения файлов"
"Allowed file extensions to upload","Разрешенные расширения файлов для загрузки"
"Expand All","Развернуть все"
"Category","Раздел"
"Category saved","Раздел сохранен"
"Category deleted","Раздел удален"
"Category must be instance of Mage_Catalog_Model_Category","Раздел должен быть экземпляром класса Mage_Catalog_Model_Category"
"Catalog Section","Раздел каталога"
"Categories","Разделы"
"Product Categories","Разделы товара"
"Page Title Separator","Разделитель заголовка страниц"
"Watermark Default Size","Размер по умолчанию для водяных знаков"
"Parent Category","Родительский раздел"
"Regular Price:","Регулярная цена:"
"Globally Editable","Редактируемые везде"
"Edit Search","Редактировать поиск"
"Edit Search '%s'","Редактировать поиск '%s'"
"List Mode","Режим списка"
"Results","Результаты"
"Items %s to %s of %s total","С %s до %s из %s"
"Link (Related, Up sell, Cross sell)","Ссылка (связанная, распродажи, кросс-продажи)"
"Link product not exists.","Ссылка на товар не существует."
"Url","Ссылки"
"Product URL Suffix","Суффикс для ссылки на товар"
"Country/State","Страна/область"
"Page:","Страница:"
"Line %d, Email: %s","Строка %d, E-mail: %s"
"Line %d, SKU: %s","Строка %d, SKU: %s"
"Varchar","Строковая величина"
"Status","Статус"
"Static","Статический"
"Static block and products","Статический блок и товары"
"Old Price:","Старая цена:"
"Compare Products List","Сравнить список товаров"
"Comparable","Сравниваемый"
"Comparable on Front-end","Сравнимый на сайте"
"Compare Items","Сравнение товаров"
"Compare Products","Сравнение товаров"
"Compare Products (%d)","Сравнение товаров (%d)"
"Compare Products - %d Items","Сравнение товаров -%d шт."
"Frontend","Сайт"
"Website","Сайт"
"Websites","Сайты"
"Reset","Сброс"
"Grouped Product","Сборный товар"
"Related Products","Связанные товары"
"Properties","Свойства"
"System Properties","Свойства системы"
"Attribute Properties","Свойства атрибута"
"Collapse All","Свернуть все"
"System","Система"
"Synonym For","Синоним для"
"Synonym for","Синоним для"
"Length of text is too long","Слишком большой объём текста"
"Save","Сохранить"
"Save Category","Сохранить раздел"
"Save Attribute","Сохранить атрибут"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Attribute Set","Сохранить набор атрибутов"
"Saved ","Сохранено "
"Image content is not valid base64 data.","Содержимое файла изображения не является корректными данными base64."
"Create","Создать"
"Create (Upload)","Создать (Загрузить)"
"Duplicate","Создать копию"
"Create new product","Создать новый товар"
"Create new category","Создать новый раздел"
"Create Empty","Создать пустым"
"Create Simple Associated Product","Создать простой ассоциированный товар"
"Create Product Settings","Создание настроек товара"
"List","Список"
"Compare list successfully cleared","Список для сравнения очищен"
"Special Price:","Специальная цена:"
"Grid","Сетка"
"A name is required","Требуется имя"
"Values Required","Требуемые значения"
"As low as:","Так мало как:"
"Scope","Тип"
"Type","Тип"
"Sort by","Тип сортировки"
"Product Type","Тип товара"
"Price Type","Тип цены"
"Input Type","Тип ввода"
"Catalog Input Type for Store Owner","Тип ввода каталога для владельца магазина"
"Data Type for Saving in Database","Тип данных для сохранение в базе данных"
"Image type and information need to be specified for each store view.","Тип изображения и информация должны быть указаны для каждого вида магазина."
"Product","Товар"
"Product %s successfully added to compare list","Товар %s успешно добавлен в список сравнения"
"Product %s successfully removed from compare list","Товар %s удалён из списка сравнения"
"Product with this combination of attributes already associated to configurable.","Товар с этой комбинации атрибутов, уже связан с настраиваемым"
"Product has required options","Товар содержит опции"
"Product deleted","Товар удален"
"Product was successfully saved.","Товар был успешно сохранен"
"Product was successfully created.","Товар был успешно создан"
"Product duplicated","Товар дублирован"
"Product In Websites","Товар на сайте"
"Customers Tagged Product","Товар, отмеченный пользователями"
"Inventory","Товары"
"Products","Товары"
"Category Products","Товары раздела"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Товары, которые не нужно показывать в каталоге или результатах поиска должны иметь статус 'Отключено' в нужном магазине."
"Static block only","Только статический блок"
"Products only","Только товары"
"Product Tags","Теги товара"
"Text","Текст"
"Text Area","Текстовый блок"
"Text Field","Текстовое поле"
"You have no items to compare.","У Вас нет товаров для сравнения"
"Set special price","Установить спец.цену"
"Set Ascending Direction","Установить восходящее направление"
"Set Root Category For Store","Установить корневой раздел для магазина"
"Set Name","Установить название"
"Set Descending Direction","Установить нисходящее направление"
"Set/Get current store view","Установить/получить текущий вид магазина"
"Set root category for this store in the <a href=""%s"">configuration</a>","Установите корневой каталог для этого магазина в <a href=""%s"">настройках</a>"
"Assign","Установлено"
"Search Term was successfully saved","Условие поиска было успешно сохранено"
"Search Term with such search query already exist.","Условие поиска для такого поискового запроса уже существует."
"Tier Pricing","Уровень цен"
"Remove This Item","Убрать этот товар"
"Notify for Quantity Below","Уведомление о кол-ве ниже"
"Zoom In","Увеличить"
"Delete","Удалить"
"Remove","Удалить"
"Remove product link","Удалить ссылку товара"
"Delete Row","Удалить строку"
"Delete product","Удалить товар"
"Remove Product","Удалить товар"
"Remove Product From Websites","Удалить товар с сайтов"
"Delete Category","Удалить раздел"
"Delete category","Удалить раздел"
"Delete Attribute","Удалить атрибут"
"Delete Selected Group","Удалить выбранные группы"
"Remove product image","Удалить изображение товара"
"Delete Attribute Set","Удалить набор атрибутов"
"Remove product assignment","Удалить назначение товара"
"Please specify the product(s) quantity","Укажите кол-во товара"
"Please specify the product option(s)","Укажите комплектацию(опции) товара"
"Please specify the product required option(s)","Укажите обязательную комплектацию(опции) товара"
"Assign product to category","Указать категорию для товара"
"Invalid attribute set specified, skipping the record","Указан неверный набор атрибутов, пропуск записи"
"Invalid option id specified for %s (%s), skipping the record","Указан неправильный id варианта для %s (%s), пропуск записи"
"Invalid product type specified, skipping the record","Указан неправильный тип товара, пропуск записи"
"Invalid store specified","Указан неправильный магазин"
"Invalid store specified, skipping the record","Указан неправильный магазин, пропуск записи"
"Zoom Out","Уменьшить"
"Unique Value","Уникальное значения"
"Unique Value (not shared with other products)","Уникальное значение (не разделяется с другими товарами)"
"Manage Label / Options","Управление ярлыками / опциями"
"Manage Products","Управление товарами"
"Manage Categories","Управление разделами"
"Manage Catalog Categories","Управление разделами каталога"
"Manage Attributes","Управление атрибутами"
"Manage Product Attributes","Управление атрибутами товара"
"Manage Titles (Size, Color, etc.)","Управление заголовками (размер, цвет и т.д.)"
"Manage Product Sets","Управление наборами товаров"
"Manage Attribute Sets","Управление наборами атрибутов"
"Manage Stock","Управление наличием"
"Manage Options (values of your attribute)","Управление опциями (значения вашего атрибута)"
"Url Rewrite Management","Управление переадресацией ссылок (Rewrite)"
"Options Control","Функции контроля"
"Last Name","Фамилия"
"Filter must be as object. Set correct filter please","Фильтр должен быть объектом. Пожалуйста, установите верный фильтр"
"Filters must be as array","Фильтры должны быть в виде массива"
"Time format","Формат времени"
"Virtual Product","Цифровой товар"
"Integer","Целое"
"Integer Number","Целое число"
"Price","Цена"
"Default price","Цена по умолчанию"
"Price:","Цена:"
"This group contains system attributes. Please move system attributes to another group and try again.","Эта группа содержит системные атрибуты. Пожалуйста, переместите системные атрибуты в другую группу и попробуйте еще раз."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Эта группа содержит атрибуты, используемые в настраиваемых товарах. Переместите атрибуты в другую группу и попробуйте снова."
"This search no longer exists","Эта поиск больше не существует"
"This is a required option","Это обязательный параметр"
"This attribute no longer exists","Этот атрибут уже не существует"
"Attribute Label","Ярлык атрибута"
"select all","выбрать все"
"must be in the allowed values list","должен быть в писке допустимых значений"
"and","и"
"and above","и выше"
"categories","категории"
"each","каждый"
"per page","на странице"
"ex. http://domain.com","напр. http://domain.com"
"cache refresh needed","необходимо обновление кэша"
"leave blank if its not an image","оставьте пустым если это не изображение"
"We Also Recommend","Мы также рекомендуем"
"Store","Магазин"
"Maximum Image Size","Максимальный размер изображения"
"Maximum image width","Максимальная ширина изображения"
"Maximum image height","Максимальная высота изображения"
"Minimum Qty for Item's Status to be Out of Stock","Минимальное кол-во товара на складе, при котором товар становится недоступным для продаж"
"Minimum Qty Allowed in Shopping Cart","Минимальное кол-во товаров в товарной корзине"
"Multiple Select","Множественный выбор"
"Attribute Model","Модель атрибута"
"Attribute model not defined","Модель атрибута не определена"
"Source Model","Модель-источник"
"Can be used only with catalog input type Dropdown","Может быть использовано только с типом 'выпадающий список'"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Может быть использовано только с типом 'выпадающий список', 'множественный выбор' и 'цена'"
"Product Image Placeholders","Метки иллюстрации товара"
"Media Image","Медиа изображение"
"Exclude","Исключить"
"Delete Option","Исключить вариант"
"Delete Search","Исключить поиск"
"Fixed","Исправлено"
"Used in product listing","Используется в перечне товаров"
"Use To Create Configurable Product","Используется для создания настраиваемых товаров"
"Use in advanced search","Использовать в расширенном поиске"
"Use In Search Results Layered Navigation","Использовать в результатах поиска (в многоуровневой навигации)"
"Use in quick search","Использовать в быстром поиске"
"Use In Layered Navigation","Использовать в многоуровневой навигации"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Использовать в многоуровневой навигации <br/> (может быть использована только с типом поля каталога 'выпадающий список')"
"Use Tree Like Category Sitemap","Использовать древовидную карту категорий"
"Use JavaScript Calendar","Использовать календарь JavaScript"
"Use Config Settings","Использовать настройки конфигурации"
"Use categories path for product URLs","Использовать путь раздела для URL-ов товара"
"Use Default Value","Использование значение по умолчанию"
"ID","Идентификационный номер"
"ID: %s","Идентификационный номер: %s"
"Change status","Изменить статус"
"Edit Attribute Set '%s'","Изменить набор атрибутов '%s'"
"Change or Retrieve attribute store view","Изменить/получить вид атрибута"
"Change","Изменения"
"Edit Product Attribute","Изменение атрибутов товара"
"Image","Изображение"
"Image not exists","Изображение не существует"
"Image not specified.","Изображение не указано."
"Image file not found","Изображение не найдено"
"Can't create image.","Иллюстрация не создана."
"Product Images","Иллюстрации товара"
"First Name","Имя"
"Name","Имя"
"Name In %s","Имя в %s"
"Attrib. Set Name","Имя набора"
"Name<br/>(For internal use)","Имя<br/>(для внутреннего пользования)"
"Product Info Column","Информация о товаре"
"Product Information","Информация о товаре"
"Products Information","Информация о товаре"
"OR","ИЛИ"
"Depends on design theme","Зависимости от отображения темы"
"Upload new product image ","Загрузить новое изображение товара"
"File upload failed","Загрузка файла не удалась"
"Tile","Заголовок"
"Backorders","Задолженные заказы"
"Close Window","Закрыть окно"
"Records for ""","Записей для """
"Save Search","Запомнить поиск"
"Price values for options should be specified in system base currency.","Значения цен для вариантов должны быть указаны в основной валюте системы"
"Default Values","Значения по умолчанию"
"Default value","Значение по умолчанию"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Будьте внимательны, при щелчке на строке будет загружена информация из выбранного файла и все не сохранённые данные будут потеряны."
"Letters(a-zA-Z) or Numbers(0-9)","Буквы (a-z,A-Z,а-я,А-Я) или цифры (0-9)"
"Quick Create","Быстрое создание"
"Quick simple product creation","Быстрое создание простого товара"
"There was an error while updating product(s) attributes","Был ошибка при обновлении атрибутов товара"
"Base directory to upload image file is not specified","Базовый каталог для загрузки файла изображения не указан"
"Block after Info Column","Блок после информационной колонки"
"More Views","Больше видов"
"Add to Wishlist","В список желаний"
"Add to Cart","В корзину"
"All","Все"
"All Product Types","Все типы товаров"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Все товары этого набора будут удалены! Вы уверены, что хотите удалить этот набор атрибутов?"
"ALL GROUPS","Все группы"
"Total of %d record(s) were successfully deleted","Всего %d записей были успешно удалено"
"Total of %d record(s) were successfully updated","Всего %d записей были успешно обновлено"
"Total Qty Base Items","Всего кол-во"
"Total incl. Tax: %1$s","Всего, с налогами: %1$s"
"Are you sure you would like to remove this item from the compare products?","Вы уверены, что хотите удалить этот товар из списка для сравнения?"
"Are you sure you want to delete this category?","Вы уверены, что хотите удалить этот раздел?"
"Are you sure?","Вы уверены?"
"Are you sure you would like to remove all products from your comparison?","Вы уверенны в том, что хотите удалить все товары из списка сравнения?"
"You may also be interested in the following product(s)","Вы также можете быть заинтересованы в следующих товарах"
"You cannot remove system attribute from this set.","Вы не можете удалить системный атрибут этого набора."
"You cannot delete this attribute","Вы не можете удалить этот атрибут"
"You cannot edit this attribute","Вы не можете изменить этот атрибут"
"You cannot update this attribute","Вы не можете обновлять этот атрибут"
"Selected Product Types","Выбранные типы товара"
"Selected configuration is not available.","Выбранная конфигурация недоступна."
"Please select static block ...","Выберите статический блок ..."
"Select type options required values rows.","Выберите тип необходимых опций."
"Select type of option","Выберите тип опций"
"Please select product(s)","Выберите товар(ы)"
"Please select products for attributes update","Выберите товары для обновления атрибутов"
"Please select  items","Выберите записи"
"Select Configurable Attributes ","Выберите настраиваемые атрибуты"
"Choose an Option...","Выберите один вариант ..."
"Please select one or more attributes.","Выберите один или несколько атрибутов."
"Choose option...","Выберите опцию ..."
"Dropdown","Выпадающий список"
"Option:","Вариант:"
"Shopping Options","Варианты товаров"
"View as","Вид"
"Visible","Видимый"
"Visible on Catalog Pages on Front-end","Видимый на странице каталога (frontend)"
"Visibility","Видимость"
"Incl. Tax","Вкл. налоги"
"Enabled","Включено"
"Watermark","Водяной знак"
"Product Image Watermarks","Водные знаки иллюстрации товара"
"Top/Left","Верх/лево"
"Top/Right","Верх/право"
"Category Top Navigation","Верхняя навигация разделов"
"Groups","Группы"
"Attribute group with the ""/name/"" name already exists","Группа атрибутов с названием ""/name/"" уже существует"
"Customer Group","Группа покупателей"
"Gallery","Галерея"
"Home","Главная"
"Duplicate website tier price customer group and quantity.","Дублировать уровень цен веб-сайта, группу пользователей и количество"
"Yes","Да"
"Yes/No","Да/нет"
"Date","Дата"
"Datetime","Дата и время"
"Date Subscribed","Дата подписки"
"Next","Далее"
"Category Data","Данные раздела"
"Double click on a group to rename it","Дважды щёлкните на группе для ее переименовывания"
"Double click on above image to view full picture","Дважды щёлкните на картинке для просмотра полноразмерной фотографии"
"Catalog Price Scope","Диапазон цен каталога"
"Year Range","Диапазон лет"
"Design","Дизайн"
"No options of this product are available.","Для этого товара опции недоступны."
"There are no customers for this alert","Для этого оповещения больше нет пользователей"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Для атрибута %s указано неправильное значение варианта (%s), пропуск записи"
"For internal use. Must be unique with no spaces","Для внутреннего использования. Должно быть уникальным, без пробелов"
"Searchable","Для поиска"
"For reindex enabled product(s) you need specify store or product","Для переиндексации товаров необходимо указать магазин или товар"
"AM","До полудня"
"Availability","Доступность"
"Availability: Out of stock.","Доступность: товара нет."
"Availability: In stock.","Доступность: на складе."
"Add New Attribute Set","Добавьте новый набор атрибутов"
"Add Tier","Добавить уровень"
"Add Product","Добавить товар"
"Add Product To Websites","Добавить товар на сайты"
"Add Items to Cart","Добавить товары в корзину"
"Add Attribute","Добавить атрибут"
"Add to My Wishlist","Добавить в список отмеченных"
