" and "," и "
"Flat Catalog Product rebuild error. Please try again later","Flat Catalog Product rebuild error. Please try again later"
"Flat Catalog Product was rebuilt successfully","Flat Catalog Product was rebuilt successfully"
"FTP Host[:Port]","Ftp хост[:порт]"
"Google Base","Google Base"
"Google Base Items","Google Base Items"
"HTTP (unsecure)","HTTP (открытый)"
"Upload HTTP Error","HTTP ошибка загрузки"
"HTTPS (SSL)","HTTPS (закрытый)"
"Upload I/O Error","I/O ошибка загрузки"
"Role ID","ID роли"
"ID Path","ID путь"
"User ID","ID пользователя"
"images/logo.gif","images/logo.gif"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Secret Key. Please refresh the page.","Invalid Secret Key. Please refresh the page."
"Inventory Stock Status","Inventory Stock Status"
"IP Address","IP адрес"
"Magento Commerce - Administrative Panel","Magento Commerce — административная панель"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento является зарегистрированной торговой маркой Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento ver. %s","Magento вер.  %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade;является зарегистрированной торговой маркой Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Mapping Configuration","Mapping Configuration"
"MS Excel XML","MS Excel XML"
"From","с"
"md5sum","сумма md5"
"notice","уведом."
"PEAR Console","PEAR консоль"
"PEAR config","Pear конфигурация"
"PEAR Configuration was successfully saved","PEAR конфигурация была успешно сохранена"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Rebuild Flat Catalog Category","Rebuild Flat Catalog Category"
"Rebuild Flat Catalog Product","Rebuild Flat Catalog Product"
"Search Index rebuild error. Please try again later","Search Index rebuild error. Please try again later"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"This account is inactive.","This account is inactive."
"License URI","URI лицензии"
"Use Config Settings","Use Config Settings"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"XML","XML"
"Actions XML","XML действия"
"[ deleted ]","[удалено]"
"[deleted]","[удалено]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure Url / Base Secure Url. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","{{base_url}} не рекомендован к использованию на рабочем сервере для объявления корневого пути. Настоятельно рекомендуем изменить это значение в Вашей <a href=""%s"">конфигурации Magento</a>."
"Images Cache","Кэш изображений"
"Image cache was cleared successfully","Кэш изображений очищен"
"Coupons","Купоны"
"CRITICAL","КРИТИЧНО"
"Catalog","Каталог"
"Category","Категория"
"Category:","Категория:"
"Channel","Канал"
"Channel:","Канал:"
"Kb","Кб"
"Api Key","Ключ API "
"Shopping Cart from %s","Корзина из %s"
"Coupon Code","Код купона"
"Qty","Кол-во"
"Number of Uses","Количество"
"Quantity","Количество"
"Stock Quantity:","Количество в магазине:"
"Number of Orders","Количество заказов"
"Number of records:","Количество записей:"
"Number of Use","Количество использований"
"Shipment Comments","Комментарии к отправлению"
"Invoice #%s comment added","Комментарий к счету #%s добавлен"
"Credit Memo #%s comment added","Комментарий к мемориальному ордеру #%s добавлен"
"Shipment #%s comment added","Комментарий к отправлению #%s добавлен"
"Configuration","Конфигурация"
"Configuration successfully saved","Конфигурация успешно сохранена"
"Default Config","Конфигурация по умолчанию"
"Module version conflict!","Конфликт с версией модуля!"
"Conflicts","Конфликты"
"Convert to Plain Text","Конвертировать в текст"
"Specific Countries","Конкретные страны"
"Final Price","Конечная цена"
"Email address is empty.","Пустой адрес email."
"Path","Путь"
"Target Path","Путь цели"
"Path:","Путь:"
"Permissions","Права доступа"
"Notes:","Примечания:"
"Sorry, this feature is coming soon...","Приносим извинения, эта функция будет реализована в ближайшее время ..."
"Please specify at least start or end date.","Просьба указать, по крайней мере, дату начала или конца."
"View Statistics for","Просмотр статистики для"
"Email Preview","Просмотр письма"
"Browse Files...","Просмотреть файлы ..."
"Browse Available Remote Extensions","Просмотреть доступные удаленные расширения"
"Browse Available Extensions","Просмотреть доступные расширения"
"No profile loaded...","Профайл не загружен ..."
"Profile was deleted","Профиль удален"
"Profile was successfully saved","Профиль был успешно сохранен"
"Profile Actions XML","Профиль действий XML"
"Profiles","Профили"
"Read details","Прочитать подробнее"
"Card Verification Number","Проверочный номер карты (CVC2)"
"API:","Программный интерфейс (API):"
"Promotions","Продвижение"
"Shipping origin","Происхождение доставки"
"Skip category selection","Пропустить выбор категории"
"Prev. month (hold for menu)","Пред. Месяц (hold for menu)"
"Prev. year (hold for menu)","Пред. Год (hold for menu)"
"Warning: Please don't close window during importing/exporting data","Предупреждение: пожалуйста, не закрывайте окно во время импорта/экспорта данных"
"Previous page","Предыдущая страница"
"Preview","Предварительный просмотр"
"Provided Files","Предоставляемые файлы"
"Passive mode","Пассивный режим"
"Password","Пароль"
"Password:","Пароль:"
"Package","Пакет"
"Packages","Пакеты"
"Dashboard","Панель управления"
"Invoice #%s created","Платёж #%s создан"
"Queued... Cancel","Постановка в очередь... Отменить"
"Permanent (301)","Постоянно (301)"
"For latest version visit: %s","Последняя версия доступна здесь: %s"
"Last Logged In (%s):","Последний вход (%s):"
"Last Logged In:","Последний вход в систему:"
"Last Month","Последний месяц"
"Last 24 hours","Последние 24 часа"
"Last 5 Search Terms","Последние 5 условий поиска"
"Last 5 Orders","Последние 5 заказов"
"Recent Orders","Последние заказы"
"Latest Message:","Последнее сообщение:"
"Preview Template","Посмотреть шаблон"
"Zip/Postal Code","Почтовый индекс:"
"Zip/Postal Code:","Почтовый индекс:"
"Sort Order","Порядок сортировки"
"Rotate CCW","Повернуть против часовой"
"Rotate CW","Повернуть по часовой"
"Please confirm site switching. All data that hasn't been saved will be lost.","Подтвердите переключение сайта. Все не сохраненные данные будут утеряны"
"Api Key Confirmation","Подтверждение ключа API"
"Password Confirmation","Подтверждение пароля"
"Confirmed email:","Подтвержденный e-mail:"
"Performed At","Подтверждено"
"Matched expression","Подходящее выражение"
"Preparing to change $pkg, please wait...","Подготовка к изменению $pkg, пожалуйста, подождите ..."
"Maintainers","Поддержка Magento"
"Subtotal","Подитог"
"Please wait, loading...","Подождите, загружается...."
"Subpackage","Подпакет"
"Subpackage can't be conflicting","Подпакет не может быть в конфликте"
"Subpackages","Подпакеты"
"Price alert subscription was saved successfully","Подписка на уведомления об изменении цены на товар сохранена"
"Stock notification was saved successfully","Подписка на уведомление о появлении товара в наличии сохранена"
"Please make sure that all global admin search modules are installed and activated.","Пожалуйста, убедитесь в том, что все глобальные модули административного поиска установлены и активированы."
"Please make sure that your changes were saved before running the profile.","Пожалуйста, убедитесь, что ваши изменения были сохранены перед запуском профиля."
"Please select tag(s)","Пожалуйста, выберите метки"
"Please select review(s)","Пожалуйста, выберите отзывы"
"Please select catalog searches","Пожалуйста, выберите поиск каталог"
"Please select a custmer","Пожалуйста, выберите пользователя"
"Please select customer(s)","Пожалуйста, выберите пользователей"
"Please, select visible in stores to this poll first","Пожалуйста, вначале выберите видимость в магазинах на этот опрос"
"Please, add a few answers to this poll first","Пожалуйста, вначале добавьте несколько ответов на этот опрос"
"Please fill in 'email' field.","Пожалуйста, заполните поле 'email'."
"Please wait...","Пожалуйста, подождите ..."
"Please use in this field only ""a-z,0-9,_"".","Пожалуйста,используйте в поле только символы ""a-я,0-9,_""."
"Position of Watermark for %s","Позиция водяного знака для %s"
"Items","Позиции"
"Items to merge","Позиции для соединения"
"Search Index was rebuilt successfully","Поисковый индекс успешно перестроен"
"Customer","Покупатель"
" The customer doesn't exist in the system anymore","Покупатель более не зарегистрирован в системе"
"Customers","Покупатели"
"Show by","Показать в"
"Show Report for","Показать отчет для"
"Show reviews","Показать отзывы"
"User with the same User Name or Email aleady exists","Пользователя с тем же именем пользователя или email-ом уже существует"
"User","Пользователь"
"Customer with the same email already exists.","Пользователь с таким же email уже существует."
"Customer was successfully saved","Пользователь был успешно сохранен"
"User was successfully saved","Пользователь был успешно сохранен"
"Customer was deleted","Пользователь был удален"
"User was successfully deleted","Пользователь был удален"
"Users","Пользователи"
"Role Users","Пользователи роли"
"Get Image Base64","Получить изображение в Base64"
"Retrieve Password","Получить пароль"
"Get help for this page","Получить помощь для данной страницы"
"Field","Поле"
"Field Mapping","Поле картографии"
"Help Us Keep Magento Healthy - Report All Bugs","Помогите сделать Magento еще лучше - сообщайте о всех ошибках"
"Personal Information","Персональная информация"
"Period","Период"
"Rebuild","Перестроить"
"Catalog Rewrites was refreshed successfully","Переадресация в каталоге успешно обновлена"
"Catalog Rewrites were refreshed successfully","Переадресация в каталоге успешно обновлена"
"Data transfer:","Передача данных:"
"Payment Data Transfer (PDT)","Передача платежных данных (PDT)"
"Toggle Editor","Переключить редактор"
"Redirect","Перенаправление"
"About the calendar","О календаре"
"Leave empty to use tax identifier","Оставьте пустым для идентификатора налога"
"Primary Billing Address","Основной адрес регистрации"
"Error while create backup. Please try again later","Ошибка создания резервной копии, повторите попытку позже"
"SSL Error: Invalid or self-signed certificate","Ошибка SSL: Неправильный или самостоятельно подписанный сертификат"
"Invoice void error","Ошибка аннулирования счёта"
"Upload Security Error","Ошибка безопасности загрузки"
"Error while cleared Image cache. Please try again later","Ошибка во время очистки кэша иллюстраций, повторите попытку позже."
"Failed to load %1$s.xml or %1$s.ser","Ошибка загрузки %1$s.xml или %1$s.ser"
"Error uploading the file","Ошибка загрузки файла"
"Invoice capture error","Ошибка записи счёта"
"Invoice cancel error.","Ошибка отмены счёта."
"Credit Memo cancel error.","Ошибка отмены мемориального ордера"
"Error while saving this role. Please try again later.","Ошибка при сохранении этой роли, повторите попытку позже."
"Error while saving this configuration: ","Ошибка при сохранении этой конфигурации:"
"Error while saving account. Please check all required fields","Ошибка при сохранении учетной записи. Пожалуйста, проверьте все необходимые поля."
"Error while saving account. Please try again later","Ошибка при сохранении учетной записи. пожалуйста, повторите попытку позже"
"Error while deleting this set.","Ошибка при удалении этого набора."
"Error while deleting this role. Please try again later.","Ошибка при удалении этой роли, повторите попытку позже."
"Failed to add a product to cart by id ""%s""","Ошибка при добавлении товара в корзина по ID ""%s"""
"Error while finished process. Please refresh cache","Ошибка при завершении процесса. Пожалуйста, обновите кэш"
"Error while updating selected review(s). Please try again later.","Ошибка при обновлении выбранных отзывов, повторите попытку позже."
"Error while refreshed Layered Navigation Indices. Please try again later","Ошибка при обновлении индексов многослойной навигации, повторите попытку позже"
"Error while refreshed Catalog Rewrites. Please try again later","Ошибка при обновлении переадресации в каталоге, повторите попытку позже"
"Track order","Отследить заказ"
"Track this shipment","Отследить отправление"
"Wishlist Report","Отчет листа пожеланий"
"Sales Report","Отчет о продажах"
"Reports","Отчеты"
"Shipment #%s created","Отгрузка #%s создана"
"Separate email","Отдельный (другой) email"
"Cancel","Отмена"
"Disable","Отменить"
"Disabled","Отменено"
"Display default currency","Отображать валюту по умолчанию"
"Email to a Friend","Отправить другу"
"Sender","Отправитель"
"Shipment was successfully created.","Отправление создано."
"Shipment was successfully sent.","Отправление отправлено."
"Clear","Очистить"
"website(%s) scope","Охват сайта(%s)"
"store(%s) scope","Охват магазина(%s)"
"Original Magento attribute names in first row:","Оригинальные имена атрибутов Magento в первой строке:"
"Merge Now","Объеденить сейчас"
"Required","Обязательное поле"
"This is a required field.","Обязательное поле"
"Total Amount","Общая сумма"
"General Information","Общая информация"
"General Section","Общий раздел"
"Total Order Amount","Общее количество заказов"
"Done By:","Обработан:"
"Done by:","Обработан:"
"Processed <strong>%s%% %s/%d</strong> records","Обработано <strong>%s%% %s/%d</strong> записей"
"Samples","Образцы"
"Both (without and with tax)","Оба (с уплатой и без уплаты налогов)"
"Refresh","Обновить"
"Update","Обновить"
"Refresh Now*","Обновить сейчас*"
"Upgrade All Available Packages","Обновить все возможные пакеты"
"Upgrade all available packages","Обновить все возможные пакеты"
"Upgrade all packages","Обновить все пакеты"
"Queue Refresh","Обновить очередь"
"Upgrade","Обновление"
"Upgrading $pkg, please wait...","Обновление $pkg, подождите ..."
"Upgrading all available packages, please wait...","Обновление всех доступных пакетов, пожалуйста, подождите ..."
"Upgrading all packages, please wait...","Обновление всех пакетов, пожалуйста, подождите ..."
"Upgrading selected packages, please wait...","Обновление выбранных пакетов, пожалуйста, подождите ..."
"Updated At","Обновлено"
"One of options row has error","Одна из строк опций содержит ошибку"
"Pending Tags","Ожидающие тэги"
"Options","Опции"
"Poll was successfully saved","Опрос был успешно сохранен"
"Poll was successfully deleted","Опрос был удален"
"Description","Описание"
"Description:","Описание:"
"MINOR","ОБЫЧНО(Е)"
"Attributes","Атрибуты"
"SKU","Артикул"
"SKU:","Артикул:"
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Архив может быть распакован при помощи <a href=""%s"">%s</a> на системах с Windows"
"Email Address:","Адрес email:"
"Billing Address","Адрес регистрации"
"Shipping Address","Адрес доставки"
"Shipping address","Адрес доставки"
"Billing address","Адрес оплаты"
"Admin","Админ"
"Magento Admin","Администрирование Magento"
"Active","Активен"
"Promo","Акция"
"Account Created on (%s):","Аккаунт создан (%s):"
"Account Created in:","Аккаунт создан:"
"Account Created on:","Аккаунт создан:"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Настройки PHP разрешают одновременную загрузку не более чем %s файлов. Измените настройки post_max_size (сейчас =  %s) и upload_max_filesize (сейчас = %s) в php.ini, если Вы хотите загружать файлы ещё большего размера."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Набор с динамическими ценами не может включать другие цены. Опции не будут сохранены."
"Bundle Items","Набор товаров"
"Attribute set successfully saved.","Набор атрибутов сохранен."
"Attribute set was successfully removed.","Набор атрибутов удален."
"Back","Назад"
"Back to Login","Назад ко входу"
"Spreadsheet Name:","Название таблицы:"
"Archive file name:","Название файла с архивом:"
"Extension Name","Название расширения"
"Role Name","Название роли"
"Attribute Set Name:","Название набора атрибутов:"
"Profile Name","Название профиля"
"Schedule Merge","Назначить слияние"
"Most Viewed Products","Наиболее просматриваемые товары"
"Search","Найти"
"Tax","Налог"
"Profile Direction","Направление профиля"
"Direction:","Направление:"
"New Website","Новый сайт"
"New System Template","Новый системный шаблон"
"New Template","Новый шаблон"
"New Email Template","Новый шаблон email"
"New Item Type","Новый тип предмета "
"New Tag","Новый тег"
"New Api Key","Новый ключ Api"
"New Store View","Новый магазина"
"New Profile","Новый профиль"
"New Password","Новый пароль"
"New admin password","Новый пароль администратора"
"A new password was sent to your email address. Please check your email and click Back to Login.","Новый пароль был отправлен на ваш e-mail. Проверьте сообщения и нажмите «Назад» для входа в систему."
"New User","Новый пользователь"
"New Accounts","Новые аккаунты"
"New Customers","Новые покупатели"
"New Extension","Новое расширение"
"Issue Number","Номер случая"
"Credit Card Number","Номер кредитной карты"
"Switch/Solo card issue number: %s","Номер карты Switch/Solo(Великобритания): %s"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Номер карты Switch/Solo/Maestro(Великобритания): %s"
"Tracking number %s for %s assigned","Номер отслеживания %s для %s установлен"
"Tracking number can not be empty.","Номер отслеживание не может быть пуст."
"Unable to find a tag to delete","Не удалось найти метку для удаления"
"Unable to find a user to delete","Не удалось найти пользователя для удаления"
"Can't delete design change","Не удается удалить изменения дизайна"
"Unable to find a poll to delete","Не удается найти опрос для удаления"
"No records found for this period.","Не найдено записей за этот период."
"No records found.","Не найдено записей."
"No","Нет"
"None","Нет"
"No (price without tax)","Нет (цена без учета налогов)"
"No search modules registered","Нет зарегистрированных модулей поиска"
"No search keywords.","Нет ключевых слов для поиска."
"No profile","Нет профиля"
"Inactive","Неактивен"
"Can not save invoice","Невозможно сохранить счёт"
"Unable to save Cron expression","Невозможно сохранить выражение Cron"
"Can not send shipment information.","Невозможно сохранить информацию об отправлении."
"Can not save credit memo","Невозможно сохранить мемориальный ордер"
"Can not save shipment.","Невозможно сохранить отправление."
"Can not do invoice for order","Невозможно создать счет к заказу"
"Can not do credit memo for order","Невозможно создать мемориальный ордер для заказа"
"Can not do shipment for order.","Невозможно создать отправление к заказу"
"Can not delete tracking number.","Невозможно удалить номер отправления"
"Can not add new comment.","Невозможно добавить новый комментарий"
"Can not add tracking number.","Невозможно добавить номер отправления"
"Can not load track with retrieving identifier.","Невозможно загрузить данные для идентификатора."
"Can not update item qty","Невозможно изменить количество товара."
"Unable to initialize import model","Невозможно инициализировать модель импорта"
"Can not initialize shipment for delete tracking number.","Невозможно инициализировать отправление для удаления номера."
"Can not initialize shipment for adding tracking number.","Невозможно инициализировать отправление для добавление номера."
"Can't find email address.","Невозможно найти адрес e-mail."
"Can not retrieve tracking number detail.","Невозможно получить детали по номеру отправления"
"Wrong column format","Неверный формат колонки"
"Invalid parrent block for this block","Неверный родительский блок для данного блока"
"Invalid directory: %s","Неверный каталог: %s"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","Неверные данные, переданные через метод POST (проверьте значения post_max_size и upload_max_filesize в файле php.ini)"
"Wrong tab configuration","Неверная конфигурация вкладки"
"Invalid website value","Неверное значение сайта"
"Invalid section value","Неверное значение раздела"
"Invalid store value","Неверное значение магазина"
"Unknown","Неизвестный"
"Unknown error","Неизвестная ошибка"
"Some of the ordered items don't exist in the catalog anymore and will be removed if you try to edit the order.","Некоторых заказанных товаров больше нет на складе и они будут удалены из счёта при его редактировании."
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Некоторые товары в этом заказе имеют разные номера счёта и способ доставки. Мы можете задать способ доставки только после составления счёта."
"You need specify carrier.","Необходимо указать способ доставки"
"Invalid file: %s","Неправильный файл: %s"
"Invalid URL","Неправильный url"
"Invalid input data for %s => %s rate","Неправильный ввод данных для %s => %s цена"
"Invalid input:","Неправильный ввод:"
"Invalid Username or Password.","Неправильные имя пользователя или пароль."
"Extensions","Расширения"
"Magento Connect","Расширения (Magento Connect)"
"Package Extensions","Расширения пакетов"
"No Extensions Found","Расширений не найдено"
"Extension","Расширение"
"Advanced Section","Расширенный раздел"
"Advanced Admin Section","Расширенный раздел Admin"
"Import/Export Advanced","Расширенный Импорт/Экспорт"
"Advanced Profiles","Расширенные профили"
"Distributed under GNU LGPL. See %s for details.","Распространяется под лицензией GNU LGPL. Смотрите %s для подробностей."
"Radio Buttons","Радио кнопки"
"Store Email Addresses Section","Раздел Email адресов магазина"
"Currency Setup Section","Раздел управления валютами"
"Developer Section","Раздел разработчика"
"Design Section","Раздел дизайна"
"Default scope","Раздел по умолчанию"
"Web Section","Раздел Веб"
"File size should be more than 0 bytes","Размер файла должен быть более 0 байт"
"Size for %s","Размер для %s"
"Role","Роль"
"Role successfully saved.","Роль успешно сохранена."
"Role successfully deleted.","Роль удалена."
"User Role","Роль пользователя"
"Roles","Роли"
"User Roles","Роли пользователя"
"Resources","Ресурсы"
"Role Resources","Ресурсы роли"
"Roles Resources","Ресурсы ролей"
"Region/State","Регион/штат"
"Edit","Редактировать"
"Edit Website","Редактировать сайт"
"Edit Template","Редактировать шаблон"
"Edit Tag","Редактировать тег"
"Edit Urlrewrite","Редактировать Urlrewrite"
"Edit Store View","Редактировать магазина"
"Edit Poll","Редактировать опрос"
"Edit User","Редактировать пользователя"
"Edit User '%s'","Редактировать пользователя '%s'"
"Edit Role","Редактирование роли"
"Results","Результаты"
"Backups","Резервные копии"
"Backup successfully created","Резервная копия успешно создана"
"Backup record was deleted","Резервная копия удалена"
"Backup","Резервное копирование"
"Rating was successfully deleted","Рейтинг был удален"
"Rating was successfully saved","Рейтинг была успешно сохранена"
"Recursive Dir","Рекурсивный каталог"
"Recommended","Рекомендуем"
"Links","Ссылки"
"Amounts","Суммы"
"Credit Memo Totals","Сумма возврата"
"Credit Memo total must be positive.","Сумма мемориального ордера должна быть положительна."
"Invoice Totals","Сумма оплаты"
"Country","Страна"
"Country:","Страна:"
"Page","Страница"
"Status","Статус"
"Status:","Статус:"
"Old rate:","Старая ставка:"
"Release Stability","Стабильный выпуск"
"Stability","Стабильность"
"API Stability","Стабильное API"
"Invoice was successfully created.","Счёт создан."
"Invoice was successfully captured","Счёт записан"
"Invoice was successfully canceled.","Счёт отменен."
"Invoice was successfully voided","Счет аннулирован"
"Invoice and shipment was successfully created.","Счет и отправление созданы."
"Expiration Date","Срок действия"
"Expiration Date: %s/%s","Срок действия: %s/%s"
"Average Orders","Средняя сумма заказа"
"Average Order Amount","Среднее количество заказов"
"Website","Сайт"
"Website: ","Сайт:"
"Websites","Сайты"
"Websites / Stores","Сайты / Магазины"
"Reset","Сбросить"
"Reset Filter","Сбросить фильтр"
"Connect with the Magento Community","Связаться с сообществом Magento"
"System","Система"
"System Section","Системный раздел"
"Bcc","Скрытая копия"
"Download Remote File","Скачать удаленный файла"
"Next page","Следующая страница"
"Next year (hold for menu)","Следующий год (придержите для меню)"
"Next month (hold for menu)","Следующий месяц (придержите для меню)"
"Unselect All","Снять все"
"Unselect Visible","Снять выбор с видимых"
"Account status","Состояние учетной записи"
"Save","Сохранить"
"Save Account","Сохранить учетную запись"
"Save Template","Сохранить шаблон"
"Save Role","Сохранить роль"
"Save data and Create Package","Сохранить данные и создать пакет"
"Save & Generate","Сохранить и сгенерировать"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save and Continue Editing","Сохранить и продолжить редактирование"
"Save Currency Rates","Сохранить курсы валют"
"Save As...","Сохранить как..."
"Save cache settings","Сохранить настройки кэша"
"Save Profile","Сохранить профиль"
"Save Config","Сохранить параметры"
"Save package with custom package file name","Сохранить пакет под другим именем файла"
"Save User","Сохранить пользователя"
"Aggregate Order","Совокупный заказ"
"Contents","Содержание"
"Template Content","Содержимое шаблона"
"Create","Создать"
"Create a backup","Создать резервную копию"
"Create DB Backup","Создать резервную копию БД"
"Create Urlrewrite:","Создать Urlrewrite:"
"Create New Attribute","Создать новый атрибут"
"Create Extension Package","Создание пакета расширений"
"Created At","Создано"
"Created <strong>%s</strong> items","Создано <strong>%s</strong> наименований"
"Assigned","Соответствует"
"List (default) / Grid","Список (по умолчанию) / сетка"
"Grid (default) / List","Сеткой (по умолчанию)/список"
"Go Today","Сегодня"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Сейчас мы в домике и заняты совершенствованием Magento. Благодарим за выдержку и нордический характер."
"Drag to move","Тяните, чтобы переместить"
"Transactional Emails","Транзакционные письма"
"Tb","Тб"
"Type","Тип"
"Entity Type","Тип сущности"
"Entity type:","Тип сущности"
"Template Type","Тип шаблона"
"Address Type:","Тип адреса:"
"Credit Card Type","Тип карты"
"Credit Card Type: %s","Тип карты: %s"
"Type:","Тип:"
"Product","Товар:"
"Product:","Товар:"
"Products","Товары"
"List only","Только список"
"Grid only","Только сеткой"
"Switch/Solo Only","Только расчётные карты Switch/Solo(Великобритания)"
"Switch/Solo/Maestro(UK Domestic) Only","Только расчётные карты Switch/Solo/Maestro(Великобритания)"
"Only mapped fields","Только мэпированные поля"
"Tags","Теги"
"Text","Текст"
"Comment text field can not be empty.","Текстовое поле комментария не может быть пустым"
"Current Configuration Scope:","Текущий раздел конфигурации:"
"Phone:","Телефон:"
"Subject","Тема"
"Template Subject","Тема шаблона"
"You have not enought permissions to login.","У вас недостаточно прав для входа"
"You have not enought permissions to use this functionality.","У вас недостаточно прав для использования этой функциональности"
"You have","У вас есть"
"Install","Установка"
"Installing $pkg, please wait...","Установка $pkg, подождите ..."
"Install Package File","Установка файла пакета"
"Installing selected packages, please wait...","Установка выбранных пакетов, пожалуйста, подождите..."
"Installed Version","Установленная версия"
"Installed As","Установлено как:"
"Search Terms","Условия поиска"
"Search Term","Условие поиска"
"Account successfully saved","Учетная запись успешно сохранена"
"Level","Уровень"
"Please make sure your passwords match.","Убедитесь, что пароли совпадают"
"Are you sure you want to do this?","Уверены?"
"Delete","Удалить"
"Remove","Удалить"
"Delete %s","Удалить %s"
"Delete %s '%s'","Удалить %s '%s'"
"Delete Website","Удалить сайт"
"Delete Template","Удалить шаблон"
"Delete Role","Удалить роль"
"Delete Store View","Удалить магазин"
"Delete Profile","Удалить профиль"
"Delete User","Удалить пользователя"
"Uninstall","Удаление"
"Uninstalling $pkg, please wait...","Удаление $pkg, подождите ..."
