"%s already exist","%s уже существует"
"%s already exists","%s уже существует"
"-- Please Select --","-- Выбирайте из списка --"
"Store Email Addresses","Email адреса магазина"
"Please select one of the above options.","Пожалуйста, выберите один из вышеуказанных вариантов."
"Please select one of the options.","Пожалуйста, выберите один из вариантов."
"Please enter 6 or more characters.","Пожалуйста, введите 6 или более символов."
"Please enter a valid $ amount. For example $100.00.","Пожалуйста, введите сумму, например 100,00."
"Please enter a valid URL. http:// is required","Пожалуйста, введите URL. http:// обязательно"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Пожалуйста, введите URL. Например, http://www.example.com или www.example.com"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Пожалуйста, введите верный номер телефона. Например (812) 456-7890 или 123-456-7890."
"Please enter a valid date.","Пожалуйста, введите правильную дату."
"Please enter a valid email address. For example johndoe@domain.com.","Пожалуйста, введите правильный адрес электронной почты. Например johndoe@domain.com."
"Please enter a valid social security number. For example 123-45-6789.","Пожалуйста, введите правильный номер социального страхования. Например 123-45-6789."
"Please enter a valid credit card number.","Пожалуйста, введите правильный номер кредитной карты."
"Please enter valid password.","Пожалуйста, введите правильный пароль."
"Please enter a valid zip code.","Пожалуйста, введите правильный почтовый индекс."
"Please enter a valid number in this field.","Пожалуйста, введите правильное число в этом поле."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Пожалуйста, используйте этот формат даты: дд/мм/гггг. Например 17/03/2006 для 17 марта 2006 года."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Пожалуйста, используйте только цифры в этом поле. Пожалуйста, избегайте использование пробелов или других символов, таких как точки и запятые."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Пожалуйста, используйте только буквы (a-z) или цифры (0-9) в этом поле или подчеркивание. Первым символом должна быть буква."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Пожалуйста, используйте только буквы (a-z) или цифры (0-9) в этом поле. Пробелы или другие символы не допускаются."
"Please use letters only (a-z or A-Z) in this field.","Пожалуйста, используйте только буквы (а-я,А-Я,a-z,A-Z) в этом поле."
"Please use letters only (a-z) in this field.","Пожалуйста, используйте только буквы (а-я,А-Я,a-z,A-Z) в этом поле."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Пожалуйста, используйте только буквы (а-я,а-z) или цифры (0-9) в этом поле. Допускаются пробелы и #"
"Search","Поиск"
"Search Engines Optimization","Поисковая оптимизация"
"First Day of Week","Первый день недели"
"Translations","Переводы"
"Before modifying the website code please make sure that it is not used in index.php","Перед изменением кода магазина убедитесь что он не используется на главной странице (index.php)"
"Before modifying the store view code please make sure that it is not used in index.php","Перед изменением кода представления магазина убедитесь что он не используется на главной странице (index.php)"
"Leave empty for access from any location","Оставьте пустым для доступа из любого места"
"Error in file: ""%s"" - %s","Ошибка в файле: ""%s"" - %s"
"Error while saving. Please try again later.","Ошибка при сохранении. Пожалуйста, попробуйте еще раз позже."
"Error: Passwords do not match","Ошибка: пароли не совпадают"
"Disable email communications","Отключение сообщений электронной почты"
"Disable modules output","Отключение вывода модулей"
"Debug","Отладка"
"Cancel","Отмена"
"Category object is required for determining product request path","Объект категории требуется для определения строки адреса продукта"
"General contact","Общий контакт"
"General","Общие"
"General Settings","Общие настройки"
"Developer Client Restrictions","Ограничения, накладываемые разработчиком на пользователей"
"Countries options","Опции для стран"
"Polls","Опросы"
"Please define flag code.","Определитесь с этим кодом."
"Logo Image Alt","Описание для файла логотипа"
"Default Description","Описание по умолчанию"
"Copyright","Авторские права"
"Admin","Администратор"
"Log Settings","Настройки лога"
"Session Validation Settings","Настройки проверки сессий"
"Startup page","Начальная страница"
"Back","Назад"
"Website Name","Название сайта"
"Current package name","Название текущего пакета"
"Store View Name","Название вида магазина"
"Store Name","Название магазина"
"Default Title","Название по умолчанию"
"New Website","Новый сайт"
"New Store View","Новый вид магазина"
"New Store","Новый магазин"
"Unable to proceed. Please, try again","Не удалось продолжить. Пожалуйста, повторите попытку"
"Can't retrieve request object","Не удается найти объект запроса"
"No","Нет"
"Unsecure","Небезопасное соединение"
"Unable to delete website. Please, try again later.","Невозможно удалить сайт. Система занята, попробуйте ещё раз позже."
"This website cannot be deleted","Невозможно удалить этот сайт"
"This website cannot be deleted.","Невозможно удалить этот сайт."
"This store view cannot be deleted","Невозможно удалить этот вид магазина"
"This store view cannot be deleted.","Невозможно удалить этот вид магазина."
"This store cannot be deleted","Невозможно удалить этот магазин"
"This store cannot be deleted.","Невозможно удалить этот магазин."
"Unable to delete store view. Please, try again later.","Невозможно удалить вид магазина. Система занята, попробуйте ещё раз позже"
"Unable to delete store. Please, try again later.","Невозможно удалить магазин. Система занята, попробуйте ещё раз позже"
"Cannot complete this operation from non-admin area.","Невозможно завершить операцию вне системы управления."
"Can't retrieve entity config: %s","Невозможно получить конфигурацию: %s"
"Invalid block type: %s","Неверный тип блока: %s"
"Invalid block: %s","Неверный блок: %s"
"Start date can't be greater than end date","Неверный интервал дат"
"Invalid layout update handle","Неверный обработчик обновления шаблона"
"Invalid websites configuration path: %s","Неверный путь конфигурации веб-сайтов: %s"
"Incorrect credit card expiration date","Неверная дата истечения банковской карты"
"Wrong number of arguments for %s","Неверное число аргументов для %s"
"Invalid messages storage ""%s"" for layout messages initialization","Неверное хранилище сообщений ""%s"" для инициализации сообщений шаблона"
"Unknown scope ""%s""","Неизвестный набор ""%s"""
"Cannot Delete Email Template","Нельзя удалить шаблон E-mail"
"Invalid transactional email code: ","Неправильный email код транзакции:"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Неправильный аргумент макета обновления (layout update), ожидается Mage_Core_Model_Layout_Element"
"Invalid base url type","Неправильный базовый тип url"
"Invalid block name to set child %s: %s","Неправильное название блока для установки под-блока %s: %s"
"Advanced","Расширенные"
"Allowed IPs (comma separated)","Разрешенные IP-адреса (через запятую)"
"Allow countries","Разрешенные страны"
"Miscellaneous HTML","Различный HTML"
"Miscellaneous scripts","Различные скрипты"
"Default Robots","Роботы по умолчанию"
"Resource is not set","Ресурс не установлен"
"Title Suffix","Суфикс названия"
"Default country","Страна по умолчанию"
"Default Pages","Страницы по умолчанию"
"Status","Статус"
"Match expressions in the same order as displayed in the configuration.","Сравнить выражения в том порядке, который указан в конфигурации."
"Your session has been expired, you will be relogged in now.","Срок вашей сессии истек, вы должны войти в систему"
"Website doesn't exist","Сайт не существует."
"System","Система"
"System Log File Name","Системный лог"
"Customer support","Служба поддержки"
"New Design Change","Смена дизайна"
"Save","Сохранить"
"Save Website","Сохранить сайт"
"Save Store View","Сохранить вид магазина"
"Save Store","Сохранить магазин"
"Create Website","Создать сайт"
"Create Store View","Создать вид магазина"
"Create Store","Создать магазин"
"Services","Сервисы"
"This category only","Только этот раздел"
"Welcome Text","Текст приветствия"
"Themes","Темы"
"Set as default","Установить по умолчанию"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Убедитесь, что ссылка заканчивается '/' (косая черта), например, http://yourdomain/magento/"
"Delete","Удалить"
"Delete Website","Удалить сайт"
"Delete Store View","Удалить вид магазина"
"Delete Store","Удалить магазин"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Удаление %1$s не удалит информацию, связанную с %1$s (категории товары и т.д.), но в дальнейшем %1$s восстановить будет невозможно. Предполагается, что Вы создали архивную копию БД перед удалением %1$s."
"Specify either category or product, or both.","Укажите либо категорию, либо товар, или и то и другое."
"Please specify shipping method.","Укажите метод доставки."
"Please specify payment method.","Укажите метод оплаты."
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Указанная временная величина ""%1$s"" не соответствует формату ""%2$s""."
"Session Cookie management","Управление сессиями cokies"
"Manage Stores","Управление магазинами"
"Controller file was loaded but class does not exist","Файл контроллера был загружен, но класс не существует"
"Logo Image Src","Файл логотипа"
"Date/time format ""%s"" is not supported.","Формат времени ""%s"" не поддерживается."
"Host","Хост"
"Timezone","Часовой пояс"
"Skin (Images / CSS)","Шаблон сайта (изображения / CSS)"
"Templates","Шаблоны"
"This category and all its child elements","Эта категория со всеми подкатегориями"
"This category and its products only","Эта категория со всеми её товарами"
"This category and its child categories only","Эта категория со всеми её подкатегориями"
"This will be displayed just before body closing tag","Это будет отображено в конце страницы (перед </body>)"
"This will be included before head closing tag in page HTML","Это будет отображено в конце заголовка страницы (перед </head>)"
"This is a required field.","Это поле обязательно для заполнения."
"Locale","Язык"
"Locale options","Языковые варианты"
"Store","Магазин"
"Store with the same code","Магазин с тем же кодом"
"Store was successfully saved","Магазин был успешно сохранен"
"Store was successfully deleted.","Магазин был удален."
"Store doesn't exist","Магазин не существует"
"Default Store","Магазин по умолчанию"
"Layout","Макет"
"Layouts","Макеты"
"Module ""%1$s"" requires module ""%2$s""","Модуль ""%1$s"" для своей работы требует модуль ""%2$s"""
"Module ""%1$s"" can not be depended from ""%2$s""","Модуль ""%1$s"" не может зависеть от ""%2$s"""
"Model class does not exist: %s","Модель класса не существует: %s"
"Model collection resource name is not defined","Модель коллекций ресурса не определена"
"Use custom admin URL","Использовать указанный адрес (URL) для администратора"
"Use HTTP Only","Использовать только HTTP"
"Use Web Server Rewrites","Использовать Web Server Rewrites"
"Use Secure URLs in Admin","Использовать защищенные url в административной панели"
"Use Secure URLs in Frontend","Использовать защищенные url на сайте магазина"
"Edit Website","Изменить сайт"
"Edit Store View","Изменить вид магазина"
"Edit Design Change","Изменить дизайн"
"Edit Store","Изменить магазин"
"Design Change","Изменения дизайна"
"Name","Имя"
"Exceptions Log File Name","Имя файла лога для исключений"
"Sender name","Имя отправителя"
"Web","Интернет"
"Website","Интернет-сайт"
"Website Information","Информация о сайте"
"Store View Information","Информация о виде магазина"
"Store Information","Информация о магазине"
"Header","Заголовок"
"Request path for specified store","Запрашиваемый путь для указанного магазина"
"Requested invalid store ""%s""","Запрошен неверный магазин ""%s"""
"Values less than 60 are ignored.","Значения менее 60 проигнорированы."
"Base URL","Базовый URL"
"Base JavaScript URL","Базовая ссылка JavaScript"
"Base Skin URL","Базовая ссылка шаблона сайта"
"Base Link URL","Базовая ссылка URL"
"Base Media URL","Базовая ссылка медиа"
"Block with name ""%s"" already exists","Блок с именем ""%s"" уже существует"
"Security","Безопасность"
"Secure","Безопасное соединение"
"Admin Base URL","Вход в админку"
"Are you sure?","Вы уверены?"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Вы ввели что-то непонятное: %s. Убедитесь, что введённое Вами соответствует формату ""http://domain.com/""."
"Weekend Days","Выходные дни"
"Please select State/Province.","Выберите штат/провинцию."
"Select Date","Выберите дату"
"Cookie Lifetime","Время жизни cookies"
"Your order can not be completed at this time as there is no payment methods available for it.","Ваш заказ сейчас не может быть завершён, так как для него не заданы варианты оплаты."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Ваш заказ не может быть выполнен в данное время так как нет подходящих способов доставки. Пожалуйста, внесите необходимые изменения в адрес доставки."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Введите 6 или более символов. Пробелы в начале или конце будут удалены."
"Please enter a number greater than 0 in this field.","Введите число больше 0 в этом поле"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Введите корректный почтовый индекс. Например, 198005."
"Store view was successfully deleted.","Вид магазина успешно удалён."
"Store View was successfully saved","Вид магазина был успешно сохранен"
"Store view doesn't exist","Вид магазина не существует"
"Default Store View","Вид магазина по умолчанию"
"Enabled","Включено"
"Enabled for Frontend","Включено для сайта"
"Enabled for Admin","Включено для административной панели"
"Store View","Внешний вид магазина"
"Website with the same code","Веб-сайт с тем же кодом"
"Website was successfully saved","Веб-сайт был успешно сохранен"
"Website was successfully deleted.","Веб-сайт был удален."
"Global","Глобальные"
"Custom email 1","Другой email 1"
"Custom email 2","Другой email 2"
"Custom admin URL","Другой адрес (URL) для администратора"
"Custom Design","Другой дизайн"
"Yes","Да"
"Date To","Дата до"
"Date From","Дата от"
"Collections Data","Данные коллекций"
"Design","Дизайн"
"Developer","Для разработчика"
"Add Secret Key to URLs","Добавить секретный ключ в УРЛы"
"Add Store Code to Urls","Добавить код магазина в ссылки"
"Add Block Names to Hints","Добавлять имена блоков к подсказкам"
"Cookie Domain","Домен для cookies"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Лог from Mage::logException(). Файл находится в {{base_dir}}/var/log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Лог Mage::log(). Файл находится в {{base_dir}}/var/log"
"Prototype Deprecation Log","Лог библиотеки Prototype"
