"%s / %s rate:","%s / %s rate:"
"%s order(s) successfully put on hold","%s order(s) successfully put on hold"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"%s for %s","%s для %s"
"%s order(s) successfully canceled","%s заказ(ов) отменен(о)"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout."
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","Some of the products below don't have all the required options. Please remove them and add again with all the required options."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Source object is not specified.","Source object is not specified."
"State/Province","State/Province"
"TAX/VAT Number","TAX/VAT Number"
"There are no printable documents related to selected orders","There are no printable documents related to selected orders"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount","This message will be shown in shopping cart when subtotal after discount less than minimum amount"
"Tier Pricing","Tier Pricing"
"Unhold order","Unhold order"
"Update Items and Qty's","Update Items and Qty's"
"Validate each address separately in multi-address checkout","Validate each address separately in multi-address checkout"
"Void invoice","Void invoice"
"Purchased from (store)","Куплен в (магазин)"
"Purchased From","Куплен из"
"Buy %s for price %s","Куплено %s за %s"
"Store Credit","Кредит магазина"
"Creditmemo","Кредитная запись"
"Adjustment Refund","Корректировка возврата"
"Adjustment Refund:","Корректировка возврата:"
"Adjustment Fee","Корректировка оплаты"
"Adjustment Fee:","Корректировка оплаты:"
"Shopping Cart","Корзина"
"""%s"" coupon code is not valid.","Код купона ""%s"" некорректен."
"QTY","Кол-во"
"Qty","Кол-во"
"Shipping Amount","Кол-во для доставки"
"Qty to Invoice","Кол-во для оплаты"
"Qty to Refund","Кол-во к возврату"
"Qty to Ship","Кол-во к отправке"
"Qty Invoiced","Кол-во оплачено"
"Number","Количество"
"Refund Amount","Количество возврата"
"Qty To Add","Количество для добавления"
"Qty Ordered","Количество заказано"
"Qty Shipped","Количество отправлено"
"To:","Кому:"
"Comments","Комментарии"
"Credit Memo Comments","Комментарии к возврату платежа"
"Shipment Comments","Комментарии к доставке"
"Order Comments","Комментарии к заказу"
"Invoice Comments","Комментарии к платежу"
"Comment","Комментарий "
"Order Comment","Комментарий к заказу"
"Comment Text","Комментировать текст"
"Email Copy of Credit Memo","Копия письма о возврате платежа"
"Email Copy of Invoice","Копия письма об оплате"
"Apply","Применить"
"Apply Coupon Code","Применить код сертификата"
"Submit Credit Memo","Принять возврат платежа"
"Submit Order","Принять заказ"
"Submit Invoice","Принять оплату"
"Capture","Прием оплаты"
"View","Просмотр"
"View All","Просмотреть все"
"View Order","Просмотреть заказ"
"Recently Viewed Products","Просмотренные товары"
"Tax Percent","Процент налога"
"Product","Продукт"
"Products","Продукты"
"Sales","Продажи"
"SOLD TO:","Продано:"
"Row Subtotal","Промежуточная стоимость"
"Subtotal","Предварительная сумма"
"Credit Memo Email Template","Письма о возврате платежа. Шаблон"
"Sales Emails","Письма о заказе"
"Order Comment Email Sender","Письмо комментария к заказу. Отправитель"
"Order Comment Email Template","Письмо комментария к заказу. Шаблон"
"Shipment Comment Email Sender","Письмо комментария к отгрузке. Отправитель"
"Shipment Comment Email Template","Письмо комментария к отгрузке. Шаблон"
"Credit Memo Comment Email Sender","Письмо комментария о возврате оплаты. Отправитель"
"Credit Memo Comment Email Template","Письмо комментария о возврате оплаты. Шаблон"
"Invoice Comment Email Sender","Письмо комментария оплаты. Отправитель"
"Invoice Comment Email Template","Письмо комментария платежа. Шаблон"
"Credit Memo email not sent","Письмо о возврате платежа не отправлено"
"Credit Memo email sent","Письмо о возврате платежа отправлено"
"Credit Memo Email Sender","Письмо о возврате платежа. Отправитель"
"Invoice Email Sender","Письмо о платеже. Отправитель"
"Invoice Email Template","Письмо о платеже. Шаблон"
"Shipment Email Sender","Письмо об отгрузке. Отправитель"
"Shipment Email Template","Письмо об отгрузке. Шаблон"
"Invoice email not sent","Письмо об оплате не отправлено"
"Invoice email sent","Письмо об оплате отправлено"
"New Order Confirmation Email Sender","Письмо подтверждения нового заказа. Отправитель"
"New Order Confirmation Template","Письмо подтверждения нового заказа. Шаблон"
"Invoice","Платеж"
"Invoice #","Платеж #"
"Invoice #%s","Платеж #%s"
"Recently Compared Products","Последние сравниваемые товары"
"Recent Orders","Последние заказы"
"Last ordered items","Последние заказанные товары"
"ZIP/Post Code","Почтовый индекс"
"Checkout totals sort order","Порядок сумм при оформлении заказа"
"Reorder","Повторный заказ"
"Gift Certificate","Подарочный сертификат"
"Gift Message","Подарочное сообщение"
"Gift Message for this Order","Подарочное сообщение для этого заказа"
"Gift Message for Entire Order","Подарочное сообщение для всего заказа"
"Gift","Подарок"
"Subscribe to Order Status","Подписаться на статус заказа"
"Subscribe to Newsletter","Подписаться на новостную рассылку"
"Newsletter Subscription","Подписка на новости"
"Please select a store","Пожалуйста, выберите магазин"
"Please select products to add","Пожалуйста, выберите продукты для добавления"
"Please select a customer","Пожалуйста, выберите пользователя"
"Customer","Покупатель"
" The customer doesn't exist in the system anymore","Покупатель более не зарегистрирован в системе"
"Customer Group","Пользовательская группа"
"Get shipping methods and rates","Получить методы доставки и цены"
"Print","Печать"
"Print Packingslips","Печать упаковочных листов"
"Print All Refunds","Печать всех возвратов"
"Print All Shipments","Печать всех отгрузок"
"Print All Invoices","Печать всех платежей"
"Print Refund","Печать возврата"
"Print Shipment","Печать отгрузки"
"Print Invoice","Печать платежа"
"Print Invoices","Печать платежей"
"Print All","Печатать все"
"Carrier","Перевозчик"
"Move to Wishlist","Переместить в желаемые"
"Move to Shopping Cart","Переместить в корзину"
"About Your Order","О вашем заказе"
"About This Order:","О заказе:"
"Order saving error: %s","Ошибка сохранения заказа: %s"
"Item qty declare error","Ошибка количества товаров"
"From","От"
"From Name","От имени"
"From:","От:"
"Track this shipment","Отслеживать эту поставку"
"Track your order","Отслеживать ваш заказ"
"Tracking","Отслеживание"
"Track all shipment(s)","Отслеживание всех поставок"
"Track all shipments","Отслеживание всех поставок"
"Track Order","Отслеживание заказа"
"SHIP TO:","Отгружено:"
"Ship to Last name","Отгрузить на Фамилию"
"Ship to First name","Отгрузить на Имя"
"Shipment","Отгрузка"
"Shipment #","Отгрузка #"
"Shipment #%s","Отгрузка #%s"
"Cancel","Отмена"
"Void","Отмена"
"Cancel order","Отменить заказ"
"Cancel invoice","Отменить инвойс"
"Canceled","Отменен"
"Display Order ID in Header","Отображать ID заказа в Заголовке"
"Send Tracking Information","Отправить информацию для отслеживания"
"Send Order Comment Email Copy To","Отправить копии письма комментария к заказу к"
"Send Credit Memo Comment Email Copy To","Отправить копии письма комментария о возврате оплаты к"
"Send Shipment Comment Email Copy To","Отправить копии письма комментария об отгрузке к"
"Send Invoice Comment Email Copy To","Отправить копии письма комментария платежа к"
"Send Credit Memo Email Copy To","Отправить копии письма о возврате платежа к"
"Send Invoice Email Copy To","Отправить копии письма о платеже к"
"Send Shipment Email Copy To","Отправить копии письма об отгрузке к"
"Send Order Email Copy To","Отправить копии письма подтверждения нового заказа к"
"Shipments","Отправления"
"Order Shipments","Отправления заказа"
"Order shipments","Отправления заказа"
"Shipped","Отправлено"
"Shipped By","Отправлено"
"Total Due","Общие сборы"
"Total Qty","Общее количество"
"Complete","Обработан"
"Processing","Обработка"
"Processing data problem","Обработка проблемы данных"
"Refresh","Обновить"
"Update Changes","Обновить изменения"
"Update Qty's","Обновить количество"
"Order Update","Обновления заказа"
"Bill to Name","Оплата на имя"
"Invoiced","Оплачен"
"Paid","Оплачен"
"Items Invoiced","Оплаченные товары"
"Paid Amount","Оплаченная сумма"
"Bill to Last name","Оплачено на фамилию"
"Bill to First name","Оплачено на имя"
"Address","Адрес"
"Shipping Address","Адрес доставки"
"Billing Address","Адрес плательщика"
"To","На"
"Pending","На рассмотрении"
"To Name","На имя"
"Click to change shipping method","Нажмите, чтобы изменить способ доставки"
"Product Name","Название продукта"
"Tax","Налог"
"Total Tax","Налог"
"Tax :","Налог:"
"Tax Amount","Налоговая сумма"
"New","Новый"
"New Status","Новый статус"
"New Credit Memo","Новый возврат платежа"
"New Order","Новый заказ"
"New Order for Guest","Новый заказ для гостя"
"New Invoice","Новый платеж"
"New Shipment","Новая отгрузка"
"New Shipment for Guest","Новое отправление для гостя"
"Tracking Number","Номер отслеживания"
"Tracking Number(s)","Номера отслеживания"
"Can not do shipment for order.","Не удается сделать отгрузку для заказа."
"Can not register existing creditmemo","Не удается зарегистрировать существующую creditmemo"
"Can not register existing shipment","Не удается зарегистрировать существующую отгрузку"
"Can not register existing invoice","Не удается зарегистрировать существующий платеж"
"Not Notified","Не извещен"
"Can't get order instance","Не могу получить реализацию заказа"
"No Payment Methods","Нет способов оплаты"
"No Items","Нет товаров"
"No items","Нет товаров"
"No Items To Refund","Нет товаров для возврата"
"No ordered items","Нет заказанных товаров"
"No detail for number ""%s""","Нет подробностей для номера ""%s"""
"Can not create block ""%s""","Невозможно создать блок ""%s"""
"Can not do invoice for order.","Невозможно создать инвойс к заказу."
"Cannot create an empty shipment.","Невозможно создать пустое отправление"
"Invalid qty to refund item ""%s""","Неверное количество для возврата товара ""%s"""
"Invalid qty to ship for item ""%s""","Неверное количество для отгрузки товара ""%s"""
"Invalid qty to invoice item ""%s""","Неверное количество для платежа по товару ""%s"""
"Unknown State","Неизвестный штат"
"Unknown Status","Неизвестное состояние"
"Print Credit Memos","Распечатать возвраты платежей"
"Print Order","Распечатать заказ"
"Print Order # %s","Распечатать заказ # %s"
"Enable","Разрешить"
"Allow Reorder","Разрешить перезаказ"
"Enabled","Разрешено"
"Sales Section","Раздел продаж"
"Edit","Редактировать"
"Link to the new order","Ссылка на новый заказ"
"Link to the previous order","Ссылка на предыдущий заказ"
"Amount","Сумма"
"Row Total","Сумма"
"G.T. (Base)","Сумма (основная)"
"G.T. (Purchased)","Сумма (покупки)"
"Subtotal after discount","Сумма с учетом скидки"
"Discount Amount","Сумма скидки"
"Order Total","Сумма заказа"
"Country","Страна"
"Order Status","Статус заказа"
"Invoice # ","Счёт-фактура №"
"Order Details","Сведения о заказе"
"Discount","Скидка"
"Discount ","Скидка"
"Discount (%s)","Скидка ( %s)"
"Discount%s","Скидка%s"
"Discount :","Скидка:"
"Mixed","Смешанные"
"Status","Состояние"
"Save in address book","Сохранить в адресной книге"
"Placed from IP","Совершен с IP"
"Create","Создать"
"Create Shipment","Создать доставку"
"Create New Order","Создать новый заказ"
"Create New Order for %s","Создать новый заказ для %s"
"Create New Order for %s in %s","Создать новый заказ для %s в %s"
"Create New Order for New Customer","Создать новый заказ для нового пользователя"
"Create New Order for New Customer in %s","Создать новый заказ для нового пользователя в %s"
"Create new invoice for order","Создать новый инвойс к заказу"
"Create New Customer","Создать нового пользователя"
"Create new shipment for order","Создать новое отправление к заказу"
"Message","Сообщение "
"Message:","Сообщение:"
"Wishlist","Список желаний"
"Shipping Method","Способ доставки"
"Payment Method","Способ оплаты"
"Payment Method:","Способ оплаты:"
"Coupons","Сертификаты"
"Same As Billing Address","Такой же как и платежный адрес"
"Item","Товар"
"The item %s (SKU %s) doesn't exist in the catalog anymore","Товар %s (SKU %s) отсутствует в каталоге"
"Products in Compare List","Товары в списке сравнения"
"Items to Invoice","Товары для оплаты"
"Items Refunded","Товаров возвращен"
"Items Ordered","Товаров заказан"
"Items to Refund","Товаров к возврату"
"Items to Ship","Товаров к отгрузке"
"Items Shipped","Товаров отправлен"
"Telephone","Телефон"
"Notify Customer","Уведомить пользователя"
"Delete","Удалить"
"Remove","Удалить"
"Remove Coupon Code","Удалить код сертификата"
"Remove tracking number","Удалить номер отслеживания"
"Hold","Удержать"
"Packingslip # ","Упаковочный лист # "
"Price","Цена"
"Partial","Частичный"
"This order no longer exists.","Этот заказ больше не существует"
"Email","Эл. почта"
"Order #%s","заказ #%s"
"Minimum amount","Минимальное количество"
"Minimum order amount","Минимальное количество заказа"
"My Orders","Мои заказы"
"My Orders - Details","Мои заказы - подробности"
"Shipping Method:","Метод доставки:"
"Order History","История заказа"
"Comments History","История комментариев"
"Excl. Tax","Искл. Налог"
"Order Subtotal","Итог заказа"
"Order Subtotal:","Итог заказа:"
"Order Totals","Итоги по заказу"
"Total %d product(s)","Итого %d товара(ов)"
"Subtotal:","Итого:"
"Grand Total to be charged","Итого для оплаты"
"Total Shipping Charges","Доставка"
"Order Grand Total","Итого"
"Grand Total","Итого:"
"Notified","Извещен"
"Change status, add comments","Изменить статус, добавить комментарий"
"Edit Order #%s","Изменить заказ #%s"
"Change Status","Изменение статуса"
"Name","Имя"
"Customer Name","Имя пользователя"
"Information","Информация"
"Shipping Information","Информация о доставке"
"Shipping and Tracking Information","Информация о доставке и отслеживание"
"Shipping &amp; Handling Information","Информация о доставке и обработке"
"Order Information","Информация о заказе"
"Account Information","Информация об учетной записи"
"No shipping information available","Информация об отправлении не доступна"
"Payment Information","Информация об оплате"
"Invoices","Инвойсы"
"Capture Amount","Захват сумма"
"Title","Заголовок"
"Closed","Закрыто"
"Order","Заказ"
"Order #","Заказ #"
"Order # ","Заказ # "
"Order # %s","Заказ # %s"
"Order #%s - %s","Заказ #%s - %s"
"Order was successfully put on hold.","Заказ был успешно отложен."
"Order was successfully cancelled.","Заказ был успешно отменен."
"Order was placed using %s","Заказ был размещен с помощью %s"
"Order was not put on hold.","Заказ не был отложен"
"Order was not cancelled.","Заказ не был отменен"
"Orders","Заказы"
"Order was not unholded.","Заказа не был возобновлен"
"Ordered","Заказано"
"Add to Cart","В корзину"
"Total Paid","Все оплаты"
"Total Refund","Всего возвращено"
"Total Refunded","Всего возвращено"
"Total(inc)","Всего(вкл)"
"Total(ex)","Всего(искл)"
"Are you sure you want to cancel this order?","Вы уверены, что хотите отменить этот заказ?"
"Are you sure?","Вы уверены?"
"Are you sure? This order will be cancelled and a new one will be created instead","Вы уверены? Этот заказ будет отменен, а вместо него будет создан новый"
"You have placed no orders.","Вы не разместили ни одного заказа"
"Recently Viewed","Вы недавно смотрели"
"Select from existing customer addresses:","Выберите из существующих адресов пользователя:"
"Grand Total:","ВСЕГО:"
"Order Currency:","Валюта заказа:"
"Please enter positive number in this field.","Введите положительное число в это поле."
"Order View","Вид заказа"
"Refund","Возврат"
"Refund #","Возврат #"
"Refund #%s","Возврат #%s"
"Refund Offline","Возврат в автономном режиме"
"Shipping Refund","Возврат доставки"
"Credit Memo","Возврат платежа"
"Credit Memo #","Возврат платежа #"
"Refunds","Возвраты"
"Unhold","Возобновлен"
"Return to Stock","Вернуть на склад"
"Back to My Orders","Вернуться в мои заказы"
"Returned","Вернулась"
"Website","Вебсайт"
"Guest","Гость"
"Custom Value","Другое значения"
"Date","Дата"
"Created At","Дата создания"
"Date of Birth","Дата рождения"
"Order Date","Дата заказа"
"Order Date (%s)","Дата заказа (%s)"
"Order Date: ","Дата заказа:"
"Order Date: %s","Дата заказа: %s"
"Date Shipped","Дата отправки"
"Invoice Date","Дата оплаты"
"Purchased On","Дата покупки"
"Ship","Доставка"
"Shipping","Доставка"
"Ship to","Доставка в"
"Shipping & Handling","Доставка и обработка"
"Shipping &amp; Handling","Доставка и обработка"
"Shipping & Handling:","Доставка и обработка:"
"Ship to Name","Доставка на имя"
"Add new comment to shipment","Добавит новый комментарий к отправлению"
"Add","Добавить"
"Add Gift Messsage","Добавить сообщение о подарке"
"Add To Order","Добавить в заказ"
"Add Selected Product(s) to Order","Добавить выбранные продукт(ы) в заказ"
"Add Selected Product(s) to Option","Добавить выбранные продукт(ы) в опции"
"Append Comments","Добавить комментарии"
"Add Order Comments","Добавить комментарии к заказу"
"Submit Comment","Добавить комментарий"
"Add comment to order","Добавить комментарий к заказу"
"Add New Address","Добавить новый адрес"
"Add new tracking number","Добавить новый номер отслеживания"
"Add Tracking Number","Добавить номер отслеживания"
"Submit Shipment","Добавить отгрузку"
"Add Products","Добавить продукты"
"Add a gift message for <strong>each gift item</strong>","Добавить подарочное сообщение для <strong> каждого подарочного товара</strong>"
"Add a gift message for the <strong>entire order</strong>","Добавить подарочное сообщение для <strong>всего заказа</strong>"
"Document","Документ"
"Actions","Действия "
"Action","Действие"
"Hold action is not available","Действие удержания недоступно"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Логотип по умолчанию, будет использован в PDF и HTML документах.<br />(jpeg, tiff, png)"
